epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,704.371,1.2505,1.05154,1.30044,1,0.95831,0.96675,0.58584,1.39624,0.91435,1.38506,0.0011684,0.0011684,0.0011684
44,718.539,1.29359,1.06726,1.36125,0.96467,0.875,0.94622,0.65489,1.27592,0.88469,1.27817,0.0011486,0.0011486,0.0011486
45,732.511,1.31122,1.09372,1.36495,0.8789,0.90728,0.95678,0.56303,1.47688,0.98471,1.44285,0.0011288,0.0011288,0.0011288
46,747.103,1.25292,1.04993,1.30742,0.87627,0.96875,0.95195,0.44071,1.90785,1.0466,1.72576,0.001109,0.001109,0.001109
47,761.012,1.21445,1.03718,1.26814,0.90836,0.8125,0.96501,0.49956,1.75785,0.90058,1.56359,0.0010892,0.0010892,0.0010892
48,775.464,1.21983,1.04162,1.28944,0.90255,0.8685,0.94777,0.56307,1.43539,0.83007,1.352,0.0010694,0.0010694,0.0010694
49,789.386,1.16402,1.03891,1.25858,0.90459,0.875,0.96747,0.57349,1.39882,0.76991,1.30028,0.0010496,0.0010496,0.0010496
50,804.047,1.179,1.01155,1.26772,0.97217,0.84375,0.94349,0.54977,1.5154,0.78504,1.33651,0.0010298,0.0010298,0.0010298
51,817.745,1.18951,0.98127,1.27063,0.90374,0.88031,0.95335,0.55701,1.4775,0.89129,1.33802,0.00101,0.00101,0.00101
52,831.433,1.18678,0.94193,1.29545,0.92499,0.875,0.92339,0.5243,1.4497,0.96873,1.39803,0.0009902,0.0009902,0.0009902
53,844.987,1.17763,0.95049,1.27701,0.87459,0.87185,0.87345,0.50956,1.59268,1.08952,1.51243,0.0009704,0.0009704,0.0009704
54,859.332,1.14912,0.9332,1.24651,0.93882,0.78125,0.88229,0.51746,1.65423,1.13528,1.55662,0.0009506,0.0009506,0.0009506
55,874.591,1.12659,0.94937,1.23943,0.84293,0.78125,0.84495,0.56817,1.47309,0.96431,1.4541,0.0009308,0.0009308,0.0009308
56,891.23,1.19783,0.95058,1.27497,0.84042,0.82307,0.84442,0.54128,1.20952,1.11795,1.27049,0.000911,0.000911,0.000911
57,904.282,1.1025,0.91734,1.20915,0.87073,0.84199,0.89734,0.6029,1.26136,1.04973,1.30593,0.0008912,0.0008912,0.0008912
58,920.347,1.20652,1.05287,1.31595,0.93809,0.8125,0.93895,0.6257,1.27451,0.85292,1.27513,0.0008714,0.0008714,0.0008714
59,934.703,1.19336,0.96688,1.27483,0.8861,0.9375,0.95682,0.60677,1.25288,0.85677,1.19695,0.0008516,0.0008516,0.0008516
60,948.639,1.21452,0.9947,1.30683,0.95876,0.90625,0.96203,0.60468,1.24791,0.74513,1.17993,0.0008318,0.0008318,0.0008318
61,962.466,1.21884,0.95536,1.26667,0.98555,0.90625,0.95604,0.64278,1.07213,0.75965,1.10116,0.000812,0.000812,0.000812
62,975.843,1.16738,0.96165,1.26084,0.92503,0.90625,0.95029,0.66633,1.04398,0.79055,1.07333,0.0007922,0.0007922,0.0007922
63,989.8,1.14103,0.98205,1.26789,0.96625,0.89488,0.9621,0.70108,0.9654,0.74536,1.03755,0.0007724,0.0007724,0.0007724
64,1004.42,1.07952,0.89245,1.2107,0.93884,0.95955,0.97415,0.66184,1.11275,0.72645,1.09415,0.0007526,0.0007526,0.0007526
65,1018.58,1.11101,0.92784,1.19839,0.99306,0.9375,0.98748,0.58652,1.40259,0.76037,1.25009,0.0007328,0.0007328,0.0007328
66,1032.2,1.0326,0.85357,1.19049,0.99013,0.9375,0.98318,0.60095,1.44135,0.75923,1.31622,0.000713,0.000713,0.000713
67,1046.55,1.08542,0.87768,1.20806,0.99985,0.9375,0.97892,0.64877,1.21701,0.69891,1.22434,0.0006932,0.0006932,0.0006932
