epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,40.7707,1.35596,1.80211,0.02269,0.76117,0.6875,0.81197,0.52904,1.24318,1.57246,0.02218,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,42.096,1.14983,1.54051,0.01883,0.76036,0.75,0.82545,0.57166,1.05741,1.44154,0.0184,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,43.4204,1.33966,1.75545,0.02311,0.73379,0.78125,0.84342,0.54667,1.33002,1.38019,0.02369,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,44.5921,1.28049,1.67544,0.02257,0.84962,0.7065,0.8621,0.55816,1.30364,1.31383,0.02319,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,45.7684,1.20232,1.52804,0.02035,0.73044,0.875,0.87283,0.56661,1.26278,1.31369,0.02173,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,46.9892,1.22817,1.51141,0.02043,0.75007,0.84409,0.87707,0.57355,1.306,1.28726,0.02296,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,48.3932,1.26756,1.57664,0.02118,0.75988,0.84375,0.88112,0.58016,1.35529,1.07526,0.02513,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,49.6179,1.27835,1.60624,0.02222,0.72108,0.80801,0.86062,0.52925,1.29478,1.37021,0.02396,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,50.8134,1.22415,1.57332,0.02035,0.72048,0.8125,0.86459,0.54498,1.27089,1.39971,0.02327,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,52.1536,1.16959,1.52822,0.01818,0.80319,0.76546,0.8641,0.55573,1.22362,1.414,0.02227,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,53.4836,1.30842,1.54018,0.02233,0.80393,0.76903,0.86978,0.57876,1.12538,1.36222,0.02115,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,54.687,1.24398,1.47168,0.0195,0.79769,0.78125,0.85114,0.56438,1.3565,1.12437,0.02708,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,55.9598,1.17957,1.3712,0.01998,0.83247,0.75,0.86997,0.54454,1.47059,1.13105,0.02836,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,57.1673,1.1784,1.23699,0.01887,0.75527,0.86813,0.8731,0.59264,1.30442,1.11144,0.0251,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,58.5709,1.16069,1.33952,0.01915,0.7142,0.84375,0.85873,0.59184,1.2461,1.02482,0.02499,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,59.8399,1.24675,1.41898,0.01992,0.72829,0.8125,0.86848,0.58302,1.19248,1.1521,0.02231,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,61.0704,1.24925,1.38041,0.02049,0.85914,0.76269,0.8919,0.6328,1.10765,1.07056,0.02025,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,62.3307,1.2143,1.48678,0.01967,0.86304,0.78125,0.90047,0.65841,1.01339,0.98843,0.01844,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,63.8189,1.18799,1.21557,0.02019,0.86442,0.8125,0.89265,0.61958,1.04171,1.01888,0.01757,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,65.0631,1.20318,1.33189,0.02143,0.86358,0.79149,0.88749,0.58486,1.29535,1.0181,0.0228,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,66.284,1.20928,1.35246,0.01902,0.86574,0.80622,0.88763,0.5849,1.25974,1.06156,0.02244,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,67.5252,1.22175,1.26071,0.01979,0.77684,0.875,0.88657,0.58338,1.25022,1.0721,0.02229,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,68.8599,1.21962,1.31793,0.01961,0.76279,0.875,0.89234,0.60811,1.12964,0.99294,0.01992,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,70.0916,1.2265,1.29207,0.01945,0.75126,0.84956,0.88929,0.62505,1.06981,0.95732,0.01856,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,71.3126,1.25744,1.37568,0.02044,0.75601,0.875,0.90142,0.62116,1.07258,0.96839,0.01911,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,72.6153,1.14359,1.18276,0.01882,0.7762,0.86724,0.9021,0.63186,1.09127,0.97789,0.02041,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,73.996,1.26255,1.35816,0.01925,0.94512,0.71875,0.9071,0.65355,0.99403,1.01232,0.01832,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,75.3816,1.30935,1.44428,0.02104,0.78489,0.90625,0.90526,0.6484,1.18094,0.76526,0.02265,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,76.582,1.2336,1.24172,0.02046,0.77874,0.9375,0.90404,0.62735,1.25687,0.70773,0.02398,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,77.7833,1.1832,1.26306,0.01896,0.78652,0.92129,0.90483,0.63337,1.21809,0.76813,0.02348,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,79.1143,1.2629,1.36912,0.02065,0.79966,0.84375,0.9038,0.61182,1.28694,0.80003,0.02546,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,80.3547,1.21701,1.29094,0.0205,0.79557,0.85147,0.90581,0.60561,1.35367,0.77202,0.02652,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,81.5485,1.12803,1.21594,0.01832,0.83692,0.80208,0.89718,0.60513,1.31612,0.76971,0.02545,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,82.7667,1.17819,1.23426,0.01983,0.80357,0.8125,0.89535,0.59795,1.28887,0.77299,0.02499,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,84.1193,1.10889,1.08849,0.01851,0.8386,0.81184,0.90182,0.64484,1.16883,0.67649,0.02274,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,85.4859,1.18405,1.21855,0.01988,0.81494,0.84375,0.89958,0.63405,1.24895,0.68,0.02427,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,86.6939,1.21962,1.22622,0.02067,0.84595,0.85824,0.89582,0.59645,1.32608,0.70919,0.02573,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,87.9227,1.22463,1.10547,0.021,0.82219,0.875,0.90053,0.59439,1.39253,0.72075,0.02662,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
